,Unnamed: 0.1,Unnamed: 0,file,rubrics,keywords,title,city,genre,date,texts,tokens
11876723,535619,535619,4311617.xml,wi,EU EZB Währung,(Zusammenfassung 1200) Europäische Zentralbank will Deflation bekämpfen.,Brüssel,,2003-06-12,(Zusammenfassung 1200) Europäische Zentralbank will Deflation bekämpfen.,"[['zusammenfass', 'europa', 'zentralbank', 'deflation', 'bekampf']]"
11876724,535620,535620,4311617.xml,wi,EU EZB Währung,(Zusammenfassung 1200) Europäische Zentralbank will Deflation bekämpfen.,Brüssel,,2003-06-12,Brüssel Die Europäische Zentralbank (EZB) will nach den Worten ihres Präsidenten Wim Duisenberg gegen eine Deflation in Euroland ebenso hart vorgehen wie gegen die Inflation.,"[['brussel', 'europa', 'zentralbank', 'ezb', 'wort', 'prasident', 'wim', 'duisenberg', 'deflation', 'euroland', 'ebenso', 'hart', 'vorgeh', 'inflation']]"
11876727,535623,535623,4311617.xml,wi,EU EZB Währung,(Zusammenfassung 1200) Europäische Zentralbank will Deflation bekämpfen.,Brüssel,,2003-06-12,"«Falls die Inflationsrate gegen null Prozent gehen sollte, dann würde der EZB-Gouverneursrat das sicherlich als eine zu niedrige Rate interpretieren.» Die EZB werde in einem solchen Fall handeln, um die Inflationsrate auf mittlere Sicht wieder in die Richtung von zwei Prozent zu bekommen.","[['«', 'fall', 'inflationsrat', 'null', 'prozent', 'geh', 'ezbgouverneursrat', 'sich', 'niedrig', 'rat', 'interpreti', '»', 'ezb', 'fall', 'handeln', 'inflationsrat', 'mittl', 'sicht', 'richtung', 'zwei', 'prozent', 'bekomm']]"
11877199,536095,536095,4311939.xml,wi,Konjunktur EZB,(Zusammenfassung 1400) EZB: Wirtschaft erholt sich erst 2004 - keine Deflationsgefahr.,Frankfurt/Main,,2003-06-12,"Eine Deflation mit einer gefährlichen Abwärtsspirale aus langfristig fallenden Preisen und einem Nachfragestau in Erwartung weiter sinkender Preise drohe aber nicht, hob die EZB hervor.","[['deflation', 'gefahr', 'abwartsspiral', 'langfrist', 'fallend', 'preis', 'nachfragestau', 'erwart', 'sinkend', 'preis', 'droh', 'nicht', 'hob', 'ezb', 'hervor']]"
11877201,536097,536097,4311939.xml,wi,Konjunktur EZB,(Zusammenfassung 1400) EZB: Wirtschaft erholt sich erst 2004 - keine Deflationsgefahr.,Frankfurt/Main,,2003-06-12,"EZB-Präsident Wim Duisenberg versicherte in Brüssel dem Wirtschafts- und Währungsausschuss des Europaparlaments, falls die Inflationsrate entgegen der Erwartung gegen null Prozent ginge, werde die Notenbank einschreiten.","[['ezbprasident', 'wim', 'duisenberg', 'versichert', 'brussel', 'wirtschaft', 'wahrungsausschuss', 'europaparlament', 'fall', 'inflationsrat', 'entgeg', 'erwart', 'null', 'prozent', 'ging', 'notenbank', 'einschreit']]"
11877206,536102,536102,4311939.xml,wi,Konjunktur EZB,(Zusammenfassung 1400) EZB: Wirtschaft erholt sich erst 2004 - keine Deflationsgefahr.,Frankfurt/Main,,2003-06-12,Die nach unten korrigierten Prognosen für Inflation und Wirtschaftswachstum eröffnen der EZB somit einen Spielraum für eine dritte Zinssenkung in diesem Jahr.,"[['unt', 'korrigiert', 'prognos', 'inflation', 'wirtschaftswachstum', 'eroffn', 'ezb', 'somit', 'spielraum', 'dritt', 'zinssenk', 'jahr']]"
11878005,536901,536901,4312263.xml,wi,Konjunktur EZB Währung,(Gesamtzusammenfassung 1630 - mit Inflationsprognosen) EZB: Aufschwung verzögert sich - DIW: Deutschland in der Rezession.,Frankfurt/Main/Berlin,,2003-06-12,"EZB-Präsident Wim Duisenberg kündigte am Donnerstag angesichts der allgemeinen Konsumzurückhaltung an, eine Deflation genauso hart zu bekämpfen wie eine zu starke Inflation.","[['ezbprasident', 'wim', 'duisenberg', 'kundigt', 'donnerstag', 'angesicht', 'allgemein', 'konsumzuruckhalt', 'deflation', 'genauso', 'hart', 'bekampf', 'stark', 'inflation']]"
11878027,536923,536923,4312263.xml,wi,Konjunktur EZB Währung,(Gesamtzusammenfassung 1630 - mit Inflationsprognosen) EZB: Aufschwung verzögert sich - DIW: Deutschland in der Rezession.,Frankfurt/Main/Berlin,,2003-06-12,"EZB-Präsident Duisenberg versicherte in Brüssel dem Wirtschafts- und Währungsausschuss des Europaparlaments, falls die Inflationsrate in Euroland entgegen der Erwartung gegen null Prozent ginge, werde die Notenbank einschreiten.","[['ezbprasident', 'duisenberg', 'versichert', 'brussel', 'wirtschaft', 'wahrungsausschuss', 'europaparlament', 'fall', 'inflationsrat', 'euroland', 'entgeg', 'erwart', 'null', 'prozent', 'ging', 'notenbank', 'einschreit']]"
11878032,536928,536928,4312263.xml,wi,Konjunktur EZB Währung,(Gesamtzusammenfassung 1630 - mit Inflationsprognosen) EZB: Aufschwung verzögert sich - DIW: Deutschland in der Rezession.,Frankfurt/Main/Berlin,,2003-06-12,Die nach unten korrigierten Prognosen für Inflation und Wirtschaftswachstum eröffnen der EZB einen Spielraum für eine dritte Leitzinssenkung in diesem Jahr.,"[['unt', 'korrigiert', 'prognos', 'inflation', 'wirtschaftswachstum', 'eroffn', 'ezb', 'spielraum', 'dritt', 'leitzinssenk', 'jahr']]"
11892380,551276,551276,4320309.xml,wi,Preise EU,"(Zusammenfassung 1200) In Euroland herrscht wieder Preisstabilität - 1,9 Prozent Inflation.",Luxemburg,,2003-06-18,Nach den Regeln der Europäischen Zentralbank (EZB) herrscht Preisstabilität in der Eurozone mit den zwölf Ländern der Gemeinschaftswährung bei einer Inflationsrate unter zwei Prozent.,"[['regeln', 'europa', 'zentralbank', 'ezb', 'herrscht', 'preisstabilitat', 'eurozon', 'zwolf', 'land', 'gemeinschaftswahr', 'inflationsrat', 'zwei', 'prozent']]"
11936878,595774,595774,4345161.xml,wi,EZB,(Berichtung: Duisenberg) (Zusammenfassung 1330) Duisenberg mahnt eindringlich Reformen an - Inflation im Griff.,Straßburg,,2003-07-03,(Berichtung: Duisenberg) (Zusammenfassung 1330) Duisenberg mahnt eindringlich Reformen an - Inflation im Griff.,"[['bericht', 'duisenberg', 'zusammenfass', 'duisenberg', 'mahnt', 'eindring', 'reform', 'inflation', 'griff']]"
11938511,597407,597407,4345289.xml,wi,Nachrichtenüberblick dpa Wirtschaft,dpa-Nachrichtenüberblick WIRTSCHAFT - 3.7.2003 - 16.00 Uhr.,,,2003-07-03,"Duisenberg mahnt eindringlich Reformen an - Inflation im Griff Straßburg Der Präsident der Europäischen Zentralbank (EZB), Wim Duisenberg, hat die EU-Staaten eindringlich zu Reformen aufgefordert.","[['duisenberg', 'mahnt', 'eindring', 'reform', 'inflation', 'griff', 'strassburg', 'prasident', 'europa', 'zentralbank', 'ezb', 'wim', 'duisenberg', 'eustaat', 'eindring', 'reform', 'aufgefordert']]"
11956020,614916,614916,4356036.xml,wi,EZB Zinsen Konjunktur,(Zusammenfassung 1600) (Mit Bildern FRA50 - 53) EZB rechnet mit Konjunkturerholung - Zinsniveau «angemessen».,Frankfurt/Main,,2003-07-10,Auch das Thema Deflation - eine gefährliche Abwärtsspirale von stark rückläufigen Preisen und einem Nachfragestau in Erwartung weiter sinkender Preise - spielt für die EZB keine Rolle mehr.,"[['thema', 'deflation', 'gefahr', 'abwartsspiral', 'stark', 'rucklauf', 'preis', 'nachfragestau', 'erwart', 'sinkend', 'preis', 'spielt', 'ezb', 'kein', 'roll', 'mehr']]"
12012588,671484,671484,4389060.xml,wi,Konjunktur EZB,(Medien-Info - Sperrfrist 2. August 0600) Issing: Deutschland muss vom Schlusslicht zum Wachstumsmotor werden.,Hamburg,,2003-08-02,"Hamburg Der Chefvolkswirt der Europäischen Zentralbank (EZB), Ottmar Issing, rechnet mit einem bevorstehenden Wirtschaftsaufschwung in der Euro-Zone bei einer Inflationsrate von unter zwei Prozent.","[['hamburg', 'chefvolkswirt', 'europa', 'zentralbank', 'ezb', 'ottmar', 'issing', 'rechnet', 'bevorsteh', 'wirtschaftsaufschw', 'eurozon', 'inflationsrat', 'zwei', 'prozent']]"
12014559,673455,673455,4390369.xml,wi,Konjunktur,(Wochenendzusammenfassung 1315) Schröder sieht Konjunktur auf gutem Weg - Stimmung optimistischer.,Berlin,,2003-08-03,"Der Chefvolkswirt der Europäischen Zentralbank (EZB), Ottmar Issing, rechnet mit einem bevorstehenden Wirtschaftsaufschwung in der Euro-Zone bei einer Inflationsrate von unter zwei Prozent.","[['chefvolkswirt', 'europa', 'zentralbank', 'ezb', 'ottmar', 'issing', 'rechnet', 'bevorsteh', 'wirtschaftsaufschw', 'eurozon', 'inflationsrat', 'zwei', 'prozent']]"
12132121,791017,791017,4459563.xml,wi,EU Preise Lebenshaltung,Preise in Euroland zogen im August leicht an.,Luxemburg,,2003-09-17,"Dennoch liegt die Teuerung noch immer nahe an der Zielgröße der Europäischen Zentralbank, die bei 2 Prozent Inflation von Preisstabilität ausgeht.","[['dennoch', 'liegt', 'teuer', 'imm', 'nah', 'zielgross', 'europa', 'zentralbank', 'prozent', 'inflation', 'preisstabilitat', 'ausgeht']]"
12150455,809351,809351,4469826.xml,wi,EZB EU Parlament,(Zusammenfassung 1215) Europaparlament unterstützt Kandidatur Trichets für EZB-Chefposten.,Straßburg,,2003-09-23,"Er werde die Unabhängigkeit der EZB bewahren, sich für die Einhaltung des Stabilitätspakts einsetzen und die Inflationsrate niedrig halten, sagte etwa der CSU-Abgeordnete Alexander Radwan.","[['unabhang', 'ezb', 'bewahr', 'einhalt', 'stabilitatspakt', 'einsetz', 'inflationsrat', 'niedrig', 'halt', 'sagt', 'etwa', 'csuabgeordnet', 'alexand', 'radwan']]"
12211030,869926,869926,4504778.xml,wi,EU Preise Lebenshaltung,Lebenshaltungskosten bleiben im Euroland stabil.,Luxemburg,,2003-10-16,"Die Europäische Zentralbank (EZB) spricht von stabilen Preisen, wenn die Inflationsrate nicht höher als zwei Prozent ist.","[['europa', 'zentralbank', 'ezb', 'spricht', 'stabil', 'preis', 'inflationsrat', 'nicht', 'hoh', 'zwei', 'prozent']]"
12211031,869927,869927,4504778.xml,wi,EU Preise Lebenshaltung,Lebenshaltungskosten bleiben im Euroland stabil.,Luxemburg,,2003-10-16,Bei einer niedrigen Inflationsrate hat die EZB mehr Spielraum für mögliche Zinssenkungen.,"[['niedrig', 'inflationsrat', 'ezb', 'mehr', 'spielraum', 'moglich', 'zinssenk']]"
12231668,890564,890564,4516067.xml,wi,Preise Lebenshaltung,(Zusammenfassung 1600) Verbraucherpreise in Deutschland bleiben im Oktober stabil.,Hamburg,,2003-10-23,Die jährliche Inflationsrate bleibt damit überall deutlich unter der Warnschwelle der Europäischen Zentralbank (EZB) von zwei Prozent.,"[['jahrlich', 'inflationsrat', 'bleibt', 'uberall', 'deutlich', 'warnschwell', 'europa', 'zentralbank', 'ezb', 'zwei', 'prozent']]"
12232148,891044,891044,4516262.xml,wi,Preise Lebenshaltung,"(Zusammenfassung 1730) Verbraucherpreise im Oktober stabil - Teuerungsrate bei 1,2 Prozent.",Wiesbaden,,2003-10-23,Die jährliche Inflationsrate blieb in allen sechs Bundesländern deutlich unter der Warnschwelle der Europäischen Zentralbank (EZB) von zwei Prozent.,"[['jahrlich', 'inflationsrat', 'blieb', 'sech', 'bundesland', 'deutlich', 'warnschwell', 'europa', 'zentralbank', 'ezb', 'zwei', 'prozent']]"
12247252,906148,906148,4524904.xml,wi,EU Konjunktur Erweiterung,(Mit Grafik 8672) Neue EU-Mitglieder kämpfen mit Arbeitslosigkeit - Stabiles Wachstum.,Brüssel,Hintergrund,2003-10-29,Die Europäischen Zentralbank sieht in einer Inflationsrate nahe 2 Prozent in der Eurozone Preisstabilität.,"[['europa', 'zentralbank', 'sieht', 'inflationsrat', 'nah', 'prozent', 'eurozon', 'preisstabilitat']]"
12268414,927310,927310,4536536.xml,wi,EZB Zinsen,(Überblick 1345) Auch unter neuem Präsident Trichet bleiben EZB-Zinsen niedrig.,Frankfurt/Main,,2003-11-06,Bei der EZB war dagegen keine Änderung des geldpolitischen Kurses angesichts der akzeptablen Inflation von rund zwei Prozent in Euroland und einer immer noch schleppenden Konjunktur erwartet worden.,"[['ezb', 'dageg', 'kein', 'ander', 'geldpolit', 'kurs', 'angesicht', 'akzeptabl', 'inflation', 'rund', 'zwei', 'prozent', 'euroland', 'imm', 'schleppend', 'konjunktur', 'erwartet', 'word']]"
12317552,976448,976448,4564270.xml,wi,Preise Lebenshaltung,(Zusammenfassung 1500) Verbraucherpreise in Deutschland im November leicht rückläufig.,Hamburg,,2003-11-24,In den fünf Ländern blieb die jährliche Inflationsrate unter der Warnschwelle der Europäischen Zentralbank (EZB) von zwei Prozent.,"[['funf', 'land', 'blieb', 'jahrlich', 'inflationsrat', 'warnschwell', 'europa', 'zentralbank', 'ezb', 'zwei', 'prozent']]"
12387654,1046550,1046550,4600569.xml,wi,Preise Lebenshaltung EU,(Zusammenfassung 1345) Teuerungsrate in der Eurozone zieht wieder an.,Luxemburg,,2003-12-17,"Diese ist nach den Regeln der Europäischen Zentralbank nur erreicht, wenn die Inflationsrate bis oder nahe an zwei Prozent liegt.","[['regeln', 'europa', 'zentralbank', 'erreicht', 'inflationsrat', 'nah', 'zwei', 'prozent', 'liegt']]"
12399150,1058046,1058046,4606913.xml,wi,Preise,"(Zusammenfassung 1430) Preise steigen 2003 um 1,1 Prozent - niedrigste Rate seit 1999.",,,2003-12-22,"Der harmonisierte Verbraucherpreisindex, der für die Zinspolitik der Europäischen Zentralbank (EZB) von Bedeutung ist, erhöhte sich im Jahresschnitt für Deutschland ebenfalls um 1,1 Prozent.","[['harmonisiert', 'verbraucherpreisindex', 'zinspolit', 'europa', 'zentralbank', 'ezb', 'bedeut', 'erhoht', 'jahresschnitt', 'deutschland', 'ebenfall', 'prozent']]"
12420470,1079366,1079366,4618372.xml,wi,Preise Lebenshaltung EU rpt rpt rpt,(Zusammenfassung 1230) (Mit Grafik 8935 vom 5.1.) Teuerungsrate in der Eurozone geht wieder leicht zurück.,Luxemburg,,2004-01-05,"Nach den Regeln der Europäischen Zentralbank ist Preisstabilität nur erreicht, falls die Inflationsrate bis oder nahe an zwei Prozent liegt.","[['regeln', 'europa', 'zentralbank', 'preisstabilitat', 'erreicht', 'fall', 'inflationsrat', 'nah', 'zwei', 'prozent', 'liegt']]"
12468336,1127232,1127232,4654471.xml,wi,EZB,(Zusammenfassung 1245) EZB äußert erneut «Besorgnis» über Euro-Kurs.,Frankfurt/Main,,2004-01-22,"Die EZB rechnet jedoch nach wie vor damit, dass die Inflationsraten 2004 sinken und danach auf einem «stabilitätsgerechten Niveau» verharren werden.","[['ezb', 'rechnet', 'jedoch', 'inflationsrat', 'sink', 'danach', '«', 'stabilitatsgerecht', 'niveau', '»', 'verharr']]"
12533376,1192272,1192272,4681377.xml,wi,EU Konjunktur EZB,Trichet zuversichtlich für einen stetigen Aufschwung in der Eurozone.,Brüssel,,2004-02-16,"Trichet geht davon aus, dass sich die Inflationsrate im Laufe des Jahres unter 2 Prozent bewegen werde.","[['trichet', 'geht', 'davon', 'inflationsrat', 'lauf', 'jahr', 'prozent', 'beweg']]"
12565592,1224488,1224488,4692025.xml,pl,Frankreich Pressestimmen EZB,«Les Echos»: Europäische Zentralbank sollte Wachstum fördern.,Paris,Kommentar,2004-03-01,"Die Preiserhöhung in der Euro-Zone ist mit 1,6 Prozent im Februar endlich unter den von der EZB selbst gesetzten Grenzwert von zwei Prozent gefallen.","[['preiserhoh', 'eurozon', 'prozent', 'februar', 'endlich', 'ezb', 'gesetzt', 'grenzwert', 'zwei', 'prozent', 'gefall']]"
12568604,1227500,1227500,4693927.xml,wi,KORR-Inland EZB Zinsen,"Zwischen Sorge und Gelassenheit: EZB-Rat im Blickpunkt der Märkte Von Alexander Missal, dpa.",Frankfurt/Main,Feature,2004-03-02,"Die EZB ist wiederum nicht einem schwachen oder starken Euro verpflichtet, sondern in erster Linie stabilen Preisen - und das sind nach ihrer Definition Inflationsraten von knapp unter zwei Prozent.","[['ezb', 'wiederum', 'nicht', 'schwach', 'stark', 'euro', 'verpflichtet', 'erst', 'lini', 'stabil', 'preis', 'definition', 'inflationsrat', 'knapp', 'zwei', 'prozent']]"
12575178,1234074,1234074,4697698.xml,wi,EZB Zinsen,Hickel sieht Aufschwungkräfte durch EZB-Beschluss belastet.,Bremen,,2004-03-04,"Die EZB habe es versäumt, deutlich zu machen, dass vorrangig nicht die Inflation, sondern die wirtschaftliche Wachstumsschwäche und Arbeitslosigkeit bekämpft werden müssten, sagte Hickel.","[['ezb', 'versaumt', 'deutlich', 'vorrang', 'nicht', 'inflation', 'wirtschaft', 'wachstumsschwach', 'arbeitslos', 'bekampft', 'musst', 'sagt', 'hickel']]"
12577430,1236326,1236326,4698768.xml,wi,EZB Zinsen,(Zusammenfassung 1715 - neu: Bundeskanzler Schröder) (Mit Bild FRA100 vom 4.3.) EZB verteidigt abwartende Haltung - Trichet ruft Bürger zu Konsum auf.,Frankfurt/Main,,2004-03-04,Die Debatte über die aus Sicht der EZB unabdingbaren Strukturreformen und der falsche Eindruck einer höheren Inflation in den europäischen Ländern seien für das derzeit geringe Verbrauchervertrauen verantwortlich.,"[['debatt', 'sicht', 'ezb', 'unabdingbar', 'strukturreform', 'falsch', 'eindruck', 'hoh', 'inflation', 'europa', 'land', 'seien', 'derzeit', 'gering', 'verbrauchervertrau', 'verantwort']]"
12609720,1268616,1268616,4714802.xml,wi,Preise Lebenshaltung EU,(Zusammenfassung 1130) Inflationsrate in Euro-Zone auf niedrigstem Stand seit 1999.,Brüssel,,2004-03-17,Preisstabilität ist nach Definition der EZB bei einer jährlichen Inflationsrate unterhalb von 2 Prozent erreicht.,"[['preisstabilitat', 'definition', 'ezb', 'jahrlich', 'inflationsrat', 'unterhalb', 'prozent', 'erreicht']]"
12642783,1301679,1301679,4728466.xml,wi,EZB Zinsen,(Medien-Info) Wirtschaftsweiser Bofinger für kräftige Zinssenkung der EZB.,Hamburg,,2004-03-30,"«Die Inflation dürfte 2005 auf etwa 1,5 Prozent sinken, dies würde zu einer Zielverfehlung führen.» Die EZB strebt eine Teuerung unter, aber nahe zwei Prozent an.","[['«', 'inflation', 'durft', 'etwa', 'prozent', 'sink', 'zielverfehl', 'fuhr', '»', 'ezb', 'strebt', 'teuer', 'nah', 'zwei', 'prozent']]"
12648033,1306929,1306929,4735195.xml,wi,EU Preise Lebenshaltung,"(Zusammenfassung 1130) Inflationsrate der Euro-Zone bleibt mit 1,6 Prozent niedrig.",Brüssel/Luxemburg,,2004-03-31,Mit einer schwachen Inflation hat die Europäische Zentralbank (EZB) mehr Spielraum für mögliche Zinssenkungen.,"[['schwach', 'inflation', 'europa', 'zentralbank', 'ezb', 'mehr', 'spielraum', 'moglich', 'zinssenk']]"
12651060,1309956,1309956,4735413.xml,wi,EZB Zinsen,(Zusammenfassung 1615) (Mit Bildern FRA201-203 und Grafik 9311 vom 1.4.) EZB hält trotz schwächelnden Aufschwungs Leitzinsen konstant.,Frankfurt/Main,,2004-04-01,"Die EZB sorge mit stabilen Preisen dafür, dass ihre Kaufkraft erhalten werde.","[['ezb', 'sorg', 'stabil', 'preis', 'dafur', 'kaufkraft', 'erhalt']]"
12651063,1309959,1309959,4735413.xml,wi,EZB Zinsen,(Zusammenfassung 1615) (Mit Bildern FRA201-203 und Grafik 9311 vom 1.4.) EZB hält trotz schwächelnden Aufschwungs Leitzinsen konstant.,Frankfurt/Main,,2004-04-01,"Die europäische Inflationsrate liegt derzeit mit 1,6 Prozent in dem von der EZB angestrebten Rahmen von knapp unter zwei Prozent.","[['europa', 'inflationsrat', 'liegt', 'derzeit', 'prozent', 'ezb', 'angestrebt', 'rahm', 'knapp', 'zwei', 'prozent']]"
12651070,1309966,1309966,4735413.xml,wi,EZB Zinsen,(Zusammenfassung 1615) (Mit Bildern FRA201-203 und Grafik 9311 vom 1.4.) EZB hält trotz schwächelnden Aufschwungs Leitzinsen konstant.,Frankfurt/Main,,2004-04-01,Unter Einbeziehung der Inflation liegen die Leitzinsen nach Angaben von EZB- Chefvolkswirt Otmar Issing ohnehin «bei null».,"[['einbezieh', 'inflation', 'lieg', 'leitzins', 'angab', 'ezb', 'chefvolkswirt', 'otmar', 'issing', 'ohnehin', '«', 'null', '»']]"
12675344,1334240,1334240,4743893.xml,wi,Konjunktur Zentralbank Frankreich,Banque de France gegen Zinssenkung - Wachstum 2 Prozent.,Paris,,2004-04-14,"«Man muss bei der Inflation extrem wachsam sein», sagte Notenbankchef Christian Noyer der Zeitung «Le Parisien» (Mittwochausgabe).","[['«', 'inflation', 'extr', 'wachsam', '»', 'sagt', 'notenbankchef', 'christian', 'noy', 'zeitung', '«', 'le', 'parisi', '»', 'mittwochausgab']]"
12682078,1340974,1340974,4747057.xml,wi,EU Preise Lebenshaltung,(Zusammenfassung 1115) Preisauftrieb in der Euro-Zone beschleunigt sich leicht.,Brüssel/Luxemburg,,2004-04-16,Mit einer schwachen Inflation hat die Europäische Zentralbank (EZB) mehr Spielraum für mögliche Zinssenkungen.,"[['schwach', 'inflation', 'europa', 'zentralbank', 'ezb', 'mehr', 'spielraum', 'moglich', 'zinssenk']]"
12702050,1360946,1360946,4756357.xml,wi,Preise Lebenshaltung,(Zusammenfassung 1630) Teures Mineralöl beschleunigt Preisauftrieb im April.,Wiesbaden,,2004-04-23,"Der starke Anstieg des Ölpreises sei mit Blick auf das globale Wachstum und die Inflation «höchst unwillkommen», sagte Trichet der «Financial Times Deutschland» (Freitag).","[['stark', 'anstieg', 'olpreis', 'sei', 'blick', 'global', 'wachstum', 'inflation', '«', 'hoch', 'unwillkomm', '»', 'sagt', 'trichet', '«', 'financial', 'tim', 'deutschland', '»', 'freitag']]"
12721759,1380655,1380655,4775061.xml,wi,EU Preise Lebenshaltung,(Zusammenfassung 1245) Experten: Preisauftrieb spricht gegen Zinssenkungen.,Frankfurt/Main/Luxemburg,,2004-04-30,"Die EZB spricht von Preisstabilität bei einer Inflationsrate von «unter, aber nahe 2,00 Prozent».","[['ezb', 'spricht', 'preisstabilitat', 'inflationsrat', '«', 'nah', 'prozent', '»']]"
12735900,1394796,1394796,4768226.xml,wi,EZB Zinsen,(Überblick 1400) Europäische Zentralbank hält Zinsen konstant.,Helsinki/Frankfurt,,2004-05-06,Die EZB sieht bei einer Inflationsrate bis oder nahe bei 2 Prozent die Preisstabilität gewahrt.,"[['ezb', 'sieht', 'inflationsrat', 'nah', 'prozent', 'preisstabilitat', 'gewahrt']]"
12738537,1397433,1397433,4776635.xml,wi,EZB Zinsen,(Zusammenfassung 1615) EZB sieht in Ölpreisen Gefahr für Preisstabilität und Konjunktur.,Helsinki/Frankfurt,,2004-05-06,"Die Inflationsrate könnte wegen der hohen Rohstoffpreise in den kommenden Monaten auf mehr als zwei Prozent steigen, warnte EZB-Präsident Jean-Claude Trichet am Donnerstag nach der EZB-Ratssitzung in Helsinki.","[['inflationsrat', 'weg', 'hoh', 'rohstoffpreis', 'kommend', 'monat', 'mehr', 'zwei', 'prozent', 'steig', 'warnt', 'ezbprasident', 'jeanclaud', 'trichet', 'donnerstag', 'ezbratssitz', 'helsinki']]"
12738660,1397556,1397556,4776645.xml,wi,Energie Preise Benzin OPEC,"(Zusammenfassung 1700) Benzin- und Rohölpreise klettern - Mehr als 1,20 Euro für Super.",Wien/Hamburg,,2004-05-06,"Die Inflationsrate könnte wegen der hohen Rohstoffpreise in den kommenden Monaten auf mehr als zwei Prozent steigen, warnte EZB-Präsident Jean- Claude Trichet am Donnerstag nach der EZB-Ratssitzung in Helsinki.","[['inflationsrat', 'weg', 'hoh', 'rohstoffpreis', 'kommend', 'monat', 'mehr', 'zwei', 'prozent', 'steig', 'warnt', 'ezbprasident', 'jean', 'claud', 'trichet', 'donnerstag', 'ezbratssitz', 'helsinki']]"
12780598,1439494,1439494,4785003.xml,wi,Preise Lebenshaltung,(Zusammenfassung 1615) Höhere Ölpreise treiben Inflationsrate kräftig nach oben.,Wiesbaden/Düsseldorf/Kamenz,,2004-05-24,"Die Warnschwelle für eine unangemessen hohe Inflation, die die Europäische Zentralbank (EZB) für die Euro-Zone auf knapp unter zwei Prozent festgelegt hat, wurde damit allerdings noch nicht überschritten.","[['warnschwell', 'unangemess', 'hoh', 'inflation', 'europa', 'zentralbank', 'ezb', 'eurozon', 'knapp', 'zwei', 'prozent', 'festgelegt', 'wurd', 'allerding', 'nicht', 'uberschritt']]"
12783246,1442142,1442142,4787484.xml,wi,Preise Lebenshaltung,"(Zusammenfassung 1315) Teuerungsrate im Mai bei 2,1 Prozent - Höchststand seit Januar 2002.",Wiesbaden,,2004-05-25,Die Warnschwelle der Europäischen Zentralbank (EZB) für eine unangemessen hohe Inflation liegt bei knapp unter zwei Prozent.,"[['warnschwell', 'europa', 'zentralbank', 'ezb', 'unangemess', 'hoh', 'inflation', 'liegt', 'knapp', 'zwei', 'prozent']]"
12796515,1455411,1455411,4792000.xml,wi,EZB Zinsen,Experten rechnen trotz höherer Inflation nicht mit EZB-Zinsschritt.,Frankfurt/Main,,2004-06-01,"Frankfurt/Main Trotz der deutlich gestiegenen Inflation in der Euro-Zone rechnen die meisten Volkswirte damit, dass die Europäische Zentralbank (EZB) nach ihrer Ratssitzung an diesem Donnerstag (3.6.)","[['frankfurtmain', 'trotz', 'deutlich', 'gestieg', 'inflation', 'eurozon', 'rechn', 'meist', 'volkswirt', 'europa', 'zentralbank', 'ezb', 'ratssitz', 'donnerstag']]"
12796759,1455655,1455655,4792163.xml,wi,Energie Öl,(Medien-Info) WestLB-Chefvolkswirt: Ölpreis noch kein Grund zur Panik.,Düsseldorf,,2004-06-01,"Hombrecher warnte die Europäische Zentralbank (EZB), auf die ölpreisbedingte höhere Teuerung mit Leitzinserhöhungen zu reagieren: «Ein ölpreisbedingter Anstieg des Verbraucherpreisindexes ist nicht mit Inflation gleichzusetzen.","[['hombrech', 'warnt', 'europa', 'zentralbank', 'ezb', 'olpreisbedingt', 'hoh', 'teuer', 'leitzinserhoh', 'reagi', '«', 'olpreisbedingt', 'anstieg', 'verbraucherpreisindex', 'nicht', 'inflation', 'gleichzusetz']]"
12801786,1460682,1460682,4793968.xml,wi,EZB Zinsen,(Überblick 1345) EZB hält Leitzinsen konstant - Äußerungen über Ölpreis erwartet.,Frankfurt/Main,,2004-06-03,Frankfurt/Main Die Europäische Zentralbank (EZB) hält trotz der gestiegenen Inflationsrate die Leitzinsen in der Euro-Zone konstant.,"[['frankfurtmain', 'europa', 'zentralbank', 'ezb', 'halt', 'trotz', 'gestieg', 'inflationsrat', 'leitzins', 'eurozon', 'konstant']]"
12818098,1476994,1476994,4803703.xml,wi,Preise Lebenshaltung,"(Zusammenfassung 1115) Teuerungsrate lag im Mai bei 2,0 Prozent - niedriger als erwartet.",Wiesbaden,,2004-06-09,Die Warnschwelle der Europäischen Zentralbank (EZB) für eine unangemessen hohe Inflation liegt bei zwei Prozent.,"[['warnschwell', 'europa', 'zentralbank', 'ezb', 'unangemess', 'hoh', 'inflation', 'liegt', 'zwei', 'prozent']]"
12869008,1527904,1527904,4818214.xml,wi,EZB Zinsen,EZB wird trotz höherer Inflation Zinsen voraussichtlich nicht ändern.,Frankfurt/Main,,2004-06-30,EZB wird trotz höherer Inflation Zinsen voraussichtlich nicht ändern.,"[['ezb', 'trotz', 'hoh', 'inflation', 'zins', 'voraussicht', 'nicht', 'and']]"
