date,r_mp_acco,r_mp_neut,r_mp_rest,r_ec_nega,r_ec_neut,r_ec_posi,lm_score,abs_score
2008-12-04,0.5150879403877306,0.18267770176659945,0.30223435784566993,0.6400244274017985,0.10772875373924364,0.25224681885895794,0.40540540540540543,0.0
2009-01-15,0.4845138527501378,0.308440310765399,0.20704583648446312,0.6936658995653809,0.08425967343303918,0.22207442700157995,0.38666666666666666,0.037037037037037035
2009-02-05,0.5123926154546666,0.22634672455254476,0.2612606599927887,0.6324500647338283,0.07268056445894824,0.2948693708072234,0.5,-0.1724137931034483
2009-03-05,0.6018940482205548,0.19739719419461368,0.20070875758483145,0.5689011231262928,0.0858217617389187,0.3452771151347885,0.5666666666666667,-0.14285714285714285
2009-04-02,0.6095776711957759,0.19912871315214814,0.19129361565207592,0.5659010351441447,0.09686855564110718,0.33723040921474823,0.5,-0.0196078431372549
2009-05-07,0.7117175325037791,0.1797126495430325,0.10856981795318857,0.4879122290498128,0.10401670195874743,0.4080710689914398,0.476923076923077,-0.14705882352941174
2009-06-04,0.4974088914203171,0.2851608003852858,0.21743030819439704,0.5133085754624531,0.08970481958188965,0.3969866049556572,0.28205128205128205,-0.08333333333333333
2009-07-02,0.4717688920328429,0.34996127983953984,0.1782698281276172,0.5239442350370971,0.10136880742636012,0.3746869575365427,0.2533333333333333,0.027027027027027032
2009-08-06,0.4252646459449925,0.4160241519894394,0.15871120206556802,0.5473810730056574,0.09074320395210904,0.3618757230422335,0.34375,0.057142857142857134
2009-09-03,0.41196089001922775,0.3996272429214792,0.1884118670592931,0.4284488490270948,0.09442503476115924,0.4771261162117459,0.0,0.3548387096774194
2009-10-08,0.3751958190250129,0.4119963199571133,0.21280786101787388,0.4325820276519714,0.09930070261295916,0.4681172697350695,-0.07936507936507936,0.35294117647058826
2009-11-05,0.4770373128168334,0.267225239616305,0.2557374475668616,0.4475802449095629,0.11208819046438748,0.4403315646260497,0.02564102564102564,0.3428571428571429
2009-12-03,0.6277179336866632,0.19145380817296312,0.1808282581403736,0.4374817177030965,0.1408293732900238,0.4216889090068796,0.03225806451612903,0.38235294117647056
2010-01-14,0.5540710603729642,0.2418487842161609,0.2040801554108749,0.4845823496150848,0.1501410058291549,0.36527664455576025,0.1267605633802817,0.2533333333333333
2010-02-04,0.5213509966401789,0.22779886979295846,0.25085013356686275,0.4586628363324227,0.15332423243043142,0.38801293123714575,0.14705882352941174,0.2058823529411765
2010-03-04,0.5550791692521176,0.2781977591345702,0.1667230716133122,0.4578729278422395,0.1449486808484198,0.3971783913093409,0.1746031746031746,0.2463768115942029
2010-04-08,0.5548329188434632,0.2862583261511323,0.15890875500540452,0.4243919394560211,0.15419877907465224,0.4214092814693268,0.15151515151515152,0.35294117647058826
2010-05-06,0.258979007130568,0.5363986482852557,0.20462234458417625,0.41076636380721576,0.14801310206715662,0.4412205341256276,0.10144927536231883,0.4567901234567901
2010-06-10,0.27699595117095704,0.5115213095086405,0.21148273932040249,0.3946275696941515,0.15182824458042676,0.4535441857254217,0.1111111111111111,0.5
2010-07-08,0.32593024864647496,0.5005553993067767,0.17351435204674828,0.4681327594526774,0.1301499872856425,0.4017172532616801,0.14285714285714285,0.46875
2010-08-05,0.2783936786553713,0.5290788952247832,0.19252742611984536,0.3783931582636477,0.11835383947368985,0.5032530022626626,0.047619047619047616,0.5555555555555556
2010-09-02,0.44937308813964794,0.3992638931451405,0.15136301871521166,0.4404422033813203,0.11497278834219553,0.4445850082764842,-0.018867924528301886,0.4029850746268657
2010-10-07,0.2568667228413097,0.5704158795529717,0.17271739760571855,0.4389806387401152,0.10961667790725613,0.4514026833526287,0.09523809523809523,0.5925925925925926
2010-11-04,0.2943447093337975,0.5209604106933649,0.18469487997283776,0.4778656506779487,0.12820309595531568,0.3939312533667356,0.05,0.6888888888888889
2010-12-02,0.3813824353096644,0.4567870383627051,0.1618305263276305,0.4429522482218658,0.13519403948205946,0.4218537122960748,0.0,0.5686274509803921
2011-01-13,0.2327208437057554,0.4946998401881122,0.2725793161061323,0.411132298506568,0.13959969178263648,0.44926800971079545,-0.2,0.6521739130434783
2011-02-03,0.2333039451456827,0.46930085850915404,0.29739519634516337,0.4291477275569563,0.11981650741476912,0.4510357650282746,-0.2682926829268293,0.5483870967741935
2011-03-03,0.37892614110258094,0.19619868603302196,0.424875172864397,0.3841009292880788,0.11811521508998445,0.4977838556219368,-0.3469387755102041,0.7333333333333333
2011-04-07,0.2889827344012422,0.14592439012622932,0.5650928754725284,0.3744992405161231,0.06935697852553338,0.5561437809583435,-0.2888888888888889,0.7419354838709677
2011-05-05,0.21962817708730595,0.2497028240158823,0.5306689988968117,0.398165023858352,0.11016529324658253,0.4916696828950657,-0.17647058823529413,0.75
2011-06-09,0.38168489726910615,0.1696423964632761,0.44867270626761774,0.34004296787218713,0.11470500222245135,0.5452520299053615,-0.11627906976744184,0.7460317460317459
2011-07-07,0.19644893256856594,0.1277501938293115,0.6758008736021226,0.3582936484971848,0.0984816912885647,0.5432246602142505,-0.21212121212121213,0.71875
2011-08-04,0.4429818562847075,0.13728794411264714,0.4197301996026453,0.4169635529237665,0.12777999290348716,0.4552564541727465,-0.17647058823529413,0.6206896551724138
2011-09-08,0.3499168365245457,0.2652668959724617,0.3848162675029925,0.4557609287457909,0.17748824507994213,0.3667508261742671,-0.1111111111111111,0.3877551020408163
2011-10-06,0.6491458821220673,0.2232789253565416,0.12757519252139107,0.5405326806725995,0.10655639042089383,0.35291092890650666,-0.125,0.3333333333333333
2011-11-03,0.489204111730747,0.33877933452915265,0.17201655374010044,0.5947000353259507,0.14770474754772636,0.257595217126323,0.21052631578947367,0.2
2011-12-08,0.6686629860381917,0.119433260966203,0.2119037529956052,0.5232079158970049,0.12908625955284464,0.3477058245501505,0.3655172413793104,-0.06194690265486725
