"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2001M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2001M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2002M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2002M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2002M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2002M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2002M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2002M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"2002M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2002M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2002M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2002M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2002M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2002M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2003M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2003M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2003M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2003M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2003M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"2003M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2003M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2003M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2003M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2003M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2003M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2003M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2004M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"2004M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,5",""
"2004M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,5",""
"2004M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2004M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2004M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2004M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2004M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2004M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2004M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2004M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2004M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2005M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2005M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2005M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2005M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2005M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2005M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2005M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2005M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2005M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,5",""
"2005M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2005M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2005M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2006M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2006M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2006M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2006M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2006M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2006M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2006M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2006M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,4",""
"2006M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
"2006M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"2006M11","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2006M12","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2007M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2007M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2007M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,3",""
"2007M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"2007M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2007M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,1",""
"2007M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"2007M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,9",""
