date;art_sentiment1_noecb_dm_we_ip
25-sept-06;.2487850189208984
26-sept-06;.4935021996498108
27-sept-06;.8609849810600281
28-sept-06;1.337685108184815
29-sept-06;.7177850008010864
02-oct-06;.6788927316665649
03-oct-06;.8537850379943848
04-oct-06;.6201183199882507
05-oct-06;.8324281573295593
06-oct-06;.6191293597221375
09-oct-06;.9019572138786316
10-oct-06;1.382784962654114
11-oct-06;.8154516418774875
12-oct-06;.2481183211008755
13-oct-06;-.3192149996757507
16-oct-06;.1046683490276337
17-oct-06;1.063600420951843
18-oct-06;1.028784871101379
19-oct-06;1.504936575889587
20-oct-06;-1.816063404083252
23-oct-06;-.7126392126083374
24-oct-06;1.435936570167542
25-oct-06;.6378270983695984
26-oct-06;.4432850182056427
27-oct-06;.0123657751828432
30-oct-06;.1704087257385254
31-oct-06;1.18691086769104
